X;Y;Tempo;odometro;Distancia;Distancia Total;Velocidade;Consumo;Gasto
2762,35;1358,30;40,00;49,41;1,41;50,83;26,35;0,00;0,00
2762,67;1358,90;40,00;50,09;1,09;51,92;26,48;0,00;0,15
2763,29;1360,09;41,00;51,43;1,43;53,35;26,33;0,00;0,20
2763,60;1360,68;42,00;52,10;1,10;54,44;26,06;0,00;0,00
2764,22;1361,88;43,00;53,45;1,45;55,89;26,40;0,00;0,19
2764,54;1362,48;43,00;54,12;1,12;57,01;26,40;0,00;0,13
2765,16;1363,67;44,00;55,46;1,46;58,48;26,08;0,00;0,00
2765,47;1364,26;45,00;56,13;1,13;59,61;26,06;0,00;0,13
2766,09;1365,46;46,00;57,49;1,49;61,09;26,48;0,00;0,18
2766,40;1366,05;46,00;58,16;1,16;62,25;26,22;0,00;0,00
2767,03;1367,25;47,00;59,50;1,50;63,75;26,27;0,00;0,17
2767,96;1369,04;49,00;61,53;1,53;65,28;26,06;0,00;0,00
2768,90;1370,83;50,00;63,55;1,55;66,83;26,04;0,00;0,00
2769,83;1372,62;52,00;65,56;1,56;68,39;26,04;0,00;0,15
2770,77;1374,41;53,00;67,59;1,59;69,98;26,41;0,00;0,00
2771,71;1376,22;55,00;69,62;1,62;71,60;26,35;0,00;0,14
2772,64;1378,00;56,00;71,63;1,63;73,23;26,15;0,00;0,17
2773,58;1379,80;58,00;73,66;1,66;74,89;26,32;0,00;0,17
2774,21;1381,00;59,00;75,02;1,02;75,91;26,40;0,00;0,15
2774,83;1382,19;60,00;76,36;1,36;77,27;26,20;0,00;0,00
2775,14;1382,78;61,00;77,03;1,03;78,30;26,02;0,00;0,00
2775,76;1383,97;62,00;78,37;1,37;79,67;26,30;0,00;0,27
2776,07;1384,57;62,00;79,04;1,04;80,72;26,19;0,00;0,00
2776,70;1385,76;63,00;80,39;1,39;82,11;26,13;0,00;0,00
2777,01;1386,35;64,00;81,06;1,06;83,17;26,04;0,00;0,00
2777,63;1387,55;65,00;82,40;1,40;84,57;26,34;0,00;0,27
2777,94;1388,14;65,00;83,08;1,08;85,65;26,22;0,00;0,00
2778,56;1389,33;66,00;84,41;1,41;87,06;26,08;0,00;0,21
2778,87;1389,92;67,00;85,08;1,08;88,15;26,15;0,00;0,23
2779,49;1391,11;68,00;86,43;1,43;89,57;26,14;0,00;0,19
2779,80;1391,71;68,00;87,10;1,10;90,67;26,35;0,00;0,29
2780,43;1392,90;69,00;88,45;1,45;92,12;26,13;0,00;0,00
2780,74;1393,50;70,00;89,12;1,12;93,24;26,42;0,00;0,34
2781,37;1394,70;71,00;90,48;1,48;94,72;26,35;0,00;0,19
2781,68;1395,30;71,00;91,15;1,15;95,87;26,28;0,00;0,18
2782,30;1396,50;72,00;92,50;1,50;97,37;26,35;0,00;0,20
2783,24;1398,30;74,00;94,53;1,53;98,90;26,43;0,00;0,31
2784,18;1400,08;75,00;96,55;1,55;100,45;26,10;0,00;0,00
2785,12;1401,88;77,00;98,58;1,58;102,02;26,47;0,00;0,30
2786,05;1403,67;78,00;100,59;1,59;103,61;26,23;0,00;0,31
2786,98;1405,45;80,00;102,60;1,60;105,21;26,02;0,00;0,00
2787,92;1407,24;81,00;104,62;1,62;106,84;26,48;0,00;0,39
2788,85;1409,03;83,00;106,64;1,64;108,48;26,46;0,00;0,43
2789,78;1410,82;84,00;108,66;1,66;110,13;26,14;0,00;0,25
2790,41;1412,02;85,00;110,01;1,01;111,14;26,47;0,00;0,36
2791,03;1413,21;86,00;111,35;1,35;112,50;26,41;0,00;0,47
2791,35;1413,81;87,00;112,03;1,03;113,53;26,46;0,00;0,28
2791,97;1415,01;88,00;113,38;1,38;114,91;26,48;0,00;0,39
2792,29;1415,61;88,00;114,06;1,06;115,97;26,47;0,00;0,25
2792,91;1416,81;90,00;115,41;1,41;117,38;26,14;0,00;0,00
2793,22;1417,41;90,00;116,09;1,09;118,47;26,43;0,00;0,43
2793,85;1418,60;91,00;117,43;1,43;119,91;26,29;0,00;0,33
2794,16;1419,19;92,00;118,10;1,10;121,01;26,05;0,00;0,00
2794,78;1420,38;93,00;119,44;1,44;122,45;26,02;0,00;0,00
2795,09;1420,98;93,00;120,11;1,11;123,56;26,20;0,00;0,38
2795,71;1422,17;94,00;121,46;1,46;125,03;26,25;0,00;0,27
2796,03;1422,77;95,00;122,14;1,14;126,16;26,39;0,00;0,36
2796,65;1423,97;96,00;123,49;1,49;127,66;26,45;0,00;0,34
2796,97;1424,57;96,00;124,17;1,17;128,83;26,52;0,00;0,33
2797,59;1425,77;97,00;125,53;1,53;130,35;26,36;0,00;0,00
2798,53;1427,57;99,00;127,55;1,55;131,91;26,45;0,00;0,46
2799,46;1429,35;100,00;129,57;1,57;133,47;26,14;0,00;0,00
2800,44;1431,11;102,00;131,58;1,58;135,05;26,09;0,00;0,28
