X;Y;Tempo;odometro;Distancia;Distancia Total;Velocidade;Consumo;Gasto
2760,24;1354,24;31;44,83;1,83;45,96;34,21;0;0
2761,05;1355,8;32;46,59;1,59;47,55;34,28;0,05;0,07
2761,86;1357,35;33;48,34;1,34;48,89;34,29;0,13;0,19
2762,27;1358,13;34;49,22;1,22;50,11;34,11;0;0
2762,67;1358,91;34;50,1;1,1;51,21;34,39;0,12;0,18
2763,49;1360,47;35;51,86;1,86;53,07;34,24;0;0
2764,3;1362,03;36;53,62;1,62;54,69;34,2;0,05;0,08
2765,11;1363,58;37;55,37;1,37;56,05;34,22;0,09;0,15
2765,52;1364,36;38;56,24;1,24;57,3;34,13;0,05;0,09
2765,93;1365,14;38;57,12;1,12;58,42;34,29;0,1;0,16
2766,33;1365,91;39;58;1;59,42;34,26;0,06;0,1
2767,15;1367,47;40;59,76;1,76;61,18;34,27;0;0
2767,96;1369,03;41;61,51;1,51;62,69;33,93;0;0
2768,77;1370,58;42;63,26;1,26;63,95;33,97;0;0
2769,17;1371,35;42;64,14;1,14;65,09;34,09;0,09;0,16
2769,17;1371,35;43;65,02;1,02;66,11;34,31;0,11;0,21
2770,39;1373,69;44;66,77;1,77;67,88;34,16;0;0
2771,2;1375,23;45;68,51;1,51;69,39;33,98;0,06;0,13
2772,01;1376,79;46;70,27;1,27;70,67;34,4;0,1;0,2
2772,42;1377,57;47;71,15;1,15;71,82;34,13;0;0
2772,82;1378,35;47;72,02;1,02;72,84;34,09;0,06;0,12
2773,64;1379,9;48;73,78;1,78;74,62;34,35;0,1;0,21
2774,45;1381,46;49;75,53;1,53;76,15;33,98;0;0
2775,26;1383,02;50;77,3;1,3;77,45;34,42;0,08;0,17
2775,67;1383,79;51;78,17;1,17;78,61;33,95;0;0
2776,07;1384,57;51;79,05;1,05;79,66;34,29;0,13;0,29
2776,48;1385,34;52;80,79;1,79;81,45;33,96;0,07;0,15
2777,69;1387,67;53;82,54;1,54;82,99;34,41;0,14;0,33
2778,51;1389,23;54;84,3;1,3;84,29;34,42;0,09;0,2
2778,92;1390,01;55;85,18;1,18;85,48;34,34;0,05;0,12
2779,32;1390,79;55;86,06;1,06;86,54;34,26;0,05;0,13
2780,13;1392,34;56;87,81;1,81;88,35;34,06;0,06;0,16
2780,54;1393,11;57;89,57;1,57;89,92;34,37;0,12;0,31
2781,76;1395,45;58;91,32;1,32;91,24;34,24;0,07;0,17
2782,17;1396,23;59;92,2;1,2;92,44;34,37;0,09;0,23
2782,57;1397,01;59;93,08;1,08;93,52;34,31;0,06;0,15
2783,38;1398,57;60;94,83;1,83;95,35;34,12;0,05;0,13
2784,19;1400,11;61;96,58;1,58;96,93;34;0,08;0,21
2785;1401,66;62;98,33;1,33;98,26;34,11;0;0
2785;1401,66;63;99,21;1,21;99,47;34,31;0,11;0,29
2785,81;1403,22;63;100,08;1,08;100,55;34,04;0;0
2786,62;1404,76;64;101,83;1,83;102,37;34,08;0,09;0,25
2787,43;1406,32;65;103,58;1,58;103,95;34,14;0;0
2788,24;1407,86;66;105,32;1,32;105,27;34;0,07;0,21
2788,64;1408,64;67;106,2;1,2;106,47;34,06;0,08;0,23
2788,64;1408,64;67;107,07;1,07;107,54;34,07;0,07;0,2
2789,86;1410,96;68;108,82;1,82;109,36;34,26;0,11;0,31
2790,67;1412,52;70;110,57;1,57;110,93;34,04;0;0
2791,49;1414,08;71;112,33;1,33;112,26;34,3;0,06;0,19
2791,89;1414,86;71;113,21;1,21;113,47;34,26;0,06;0,19
2792,3;1415,63;72;114,09;1,09;114,56;34,2;0,05;0,17
2792,71;1416,41;73;115,85;1,85;116,41;34,27;0,06;0,2
2793,92;1418,75;74;117,6;1,6;118,01;34,15;0;0
2794,74;1420,3;75;119,36;1,36;119,36;34,1;0;0
2795,15;1421,08;75;120,24;1,24;120,6;34,33;0,11;0,36
2795,55;1421,86;76;121,11;1,11;121,71;34,02;0;0
2796,36;1423,41;77;122,86;1,86;123,57;34,23;0,07;0,22
2797,17;1424,97;78;124,62;1,62;125,19;34,06;0;0
2797,98;1426,52;79;126,37;1,37;126,56;34,15;0,1;0,33
2798,39;1427,29;79;127,24;1,24;127,8;34,05;0;0
2798,79;1428,07;80;128,12;1,12;128,92;34,31;0,11;0,4
2799,55;1429,51;81;129,75;1,75;130,67;30,97;0;0
2800,23;1430,81;82;131,21;1,21;131,88;27,88;0;0
2801;1431,9;83;132,55;1,55;133,43;25,97;0;0
2802,4;1433,26;84;134,54;1,54;134,97;25,95;0;0
2804,22;1433,86;86;136,52;1,52;136,49;25,87;0,09;0,33
2806,14;1433,55;87;138,52;1,52;138,01;26,04;0,11;0,43
2807,94;1432,7;89;140,5;1,5;139,51;25,68;0,06;0,23
2809,72;1431,57;90;142,62;1,62;141,13;28,32;0,2;0,79
2810,98;1430,77;92;144,11;1,11;142,24;29,43;0,15;0,61
2811,64;1430,36;93;145,68;1,68;143,92;31,13;0,23;0,96
2813,71;1429,05;94;147,33;1,33;145,25;32,68;0,24;1
2814,43;1428,59;94;148,19;1,19;146,44;33,31;0,18;0,75
2815,17;1428,12;95;149,06;1,06;147,5;34,09;0,21;0,89
2816,65;1427,19;96;150,81;1,81;149,31;34,19;0,09;0,36
2818,13;1426,25;97;152,57;1,57;150,88;34,03;0;0
2819,6;1425,32;98;154,31;1,31;152,18;33,95;0,07;0,3
2820,34;1424,85;98;155,18;1,18;153,36;34,07;0,09;0,38
2821,08;1424,38;99;156,06;1,06;154,42;34,33;0,12;0,5
2822,57;1423,44;100;157,81;1,81;156,24;34,24;0,08;0,34
2824,04;1422,51;101;159,56;1,56;157,8;34,11;0,1;0,42
2825,53;1421,57;102;161,32;1,32;159,12;34,35;0,1;0,43
2826,26;1421,1;102;162,19;1,19;160,31;34,04;0;0
2827,01;1420,63;103;163,07;1,07;161,38;34,29;0,11;0,52
2828,48;1419,7;104;164,81;1,81;163,19;33,96;0,06;0,26
2829,96;1418,77;105;166,56;1,56;164,75;34,17;0,1;0,44
2831,43;1417,83;106;168,31;1,31;166,06;34;0;0
2832,18;1417,36;106;169,19;1,19;167,25;34,37;0,14;0,64
2832,92;1416,89;107;170,07;1,07;168,32;34,32;0,06;0,26
2834,4;1415,95;108;171,82;1,82;170,14;34,09;0;0
2835,15;1415,48;109;173,58;1,58;171,73;34,21;0;0
2837,37;1414,08;110;175,34;1,34;173,06;34,21;0,07;0,32
2838,11;1413,61;111;176,21;1,21;174,27;34,12;0;0
2838,85;1413,14;111;177,09;1,09;175,36;34,08;0,06;0,29
2840,33;1412,2;112;178,83;1,83;177,19;34,14;0,08;0,37
2841,82;1411,26;113;180,59;1,59;178,79;34,25;0;0
2843,3;1410,33;114;182,35;1,35;180,13;34,3;0,12;0,62
2844,04;1409,86;115;183,22;1,22;181,35;34,18;0;0
2844,78;1409,39;115;184,1;1,1;182,45;34,19;0,07;0,35
2846,26;1408,45;116;185,85;1,85;184,3;34,06;0;0
2847,73;1407,52;117;187,59;1,59;185,9;34,08;0,09;0,46
2849,22;1406,58;118;189,35;1,35;187,25;34,25;0,08;0,42
2849,96;1406,11;119;190,23;1,23;188,47;34,24;0,06;0,34
2849,96;1406,11;119;191,1;1,1;189,58;34,11;0;0
2852,18;1404,71;120;192,86;1,86;191,43;34,42;0,15;0,77
2853,66;1403,77;121;194,61;1,61;193,04;34,14;0;0
2855,15;1402,83;122;196,37;1,37;194,42;34,4;0,08;0,4
2855,9;1402,36;123;197,25;1,25;195,67;34,32;0,05;0,29
2856,64;1401,89;123;198,13;1,13;196,8;34,3;0,06;0,34
2857,38;1401,42;124;199,01;1,01;197,81;34,02;0;0
2858,86;1400,48;125;200,76;1,76;199,57;34,06;0;0
2860,34;1399,55;126;202,51;1,51;201,08;34,04;0;0
2861,82;1398,61;127;204,27;1,27;202,34;34,04;0;0
2862,56;1398,14;127;205,14;1,14;203,49;34,26;0,11;0,6
2863,3;1397,67;128;206,02;1,02;204,51;34,17;0;0
2864,78;1396,73;129;207,77;1,77;206,28;33,98;0;0
2866,26;1395,8;130;209,51;1,51;207,79;34,03;0,08;0,47
2867,74;1394,86;131;211,26;1,26;209,05;34,01;0;0
2868,47;1394,4;132;212,14;1,14;210,19;34,06;0,08;0,44
2869,21;1393,93;132;213,01;1,01;211,2;33,97;0;0
2870,69;1392,99;133;214,76;1,76;212,96;34,3;0,1;0,6
2872,17;1392,06;134;216,51;1,51;214,47;34,06;0,06;0,37
2873,65;1391,12;135;218,26;1,26;215,74;34,3;0,12;0,74
2874,38;1390,66;136;219,13;1,13;216,87;33,94;0;0
2875,13;1390,19;136;220,01;1,01;217,88;34,34;0,14;0,84
2876,62;1389,25;137;221,77;1,77;219,65;34,28;0,06;0,34
2878,1;1388,31;138;223,52;1,52;221,18;34,25;0,11;0,65
2879,58;1387,37;139;225,28;1,28;222,46;34,36;0,1;0,61
2880,32;1386,9;140;226,16;1,16;223,61;34,19;0;0
2881,07;1386,43;140;227,04;1,04;224,65;34,41;0,11;0,66
2882,55;1385,49;141;228,8;1,8;226,45;34,23;0,06;0,36
2884,03;1384,56;142;230,54;1,54;227,99;34,04;0;0
2885,51;1383,62;143;232,29;1,29;229,28;34,02;0;0
2886,25;1383,15;144;233,17;1,17;230,45;34,26;0,11;0,7
2886,99;1382,68;144;234,05;1,05;231,5;34,24;0,06;0,4
2888,48;1381,74;145;235,81;1,81;233,31;34,41;0,11;0,68
2889,96;1380,8;146;237,56;1,56;234,88;34,38;0,11;0,71
2891,36;1379,91;148;239,32;1,32;236,2;34,21;0;0
2892,1;1379,45;148;240,19;1,19;237,39;33,97;0;0
2892,8;1379,01;149;241,02;1,02;238,42;32,22;0;0
2894,08;1378,19;150;242,54;1,54;239,95;28,75;0;0
2895,95;1377,33;151;244,6;1,6;241,55;26,64;0;0
2897,95;1377,05;153;246,66;1,66;243,21;26,79;0;0
2899,23;1377,39;154;248,02;1,02;244,24;26,71;0,09;0,59
2899,84;1377,7;155;249,39;1,39;245,63;26,78;0,08;0,57
2900,88;1378,55;155;250,08;1,08;246,71;26,72;0,06;0,39
2901,77;1379,58;156;251,44;1,44;248,15;26,5;0;0
2902,18;1380,13;157;252,13;1,13;249,28;26,72;0,1;0,68
2902,96;1381,34;158;253,57;1,57;250,85;28,61;0,21;1,45
2903,78;1382,62;159;255,09;1,09;251,94;29,92;0,18;1,29
2904,64;1383,96;160;256,69;1,69;253,63;31,65;0,24;1,69
2905,55;1385,39;161;258,37;1,37;255;33,24;0,19;1,32
2906,02;1386,12;161;259,24;1,24;256,24;33,82;0,18;1,24
2906,5;1386,87;162;260,13;1,13;257,37;34,77;0,25;1,75
2906,97;1387,6;162;261,04;1,04;258,41;35,55;0,22;1,56
2907,86;1389,1;164;262,91;1,91;260,33;36,84;0,21;1,55
2908,85;1390,77;165;264,86;1,86;262,18;38,37;0,27;1,97
2909,35;1391,63;166;266,87;1,87;264,06;39,74;0,25;1,85
2910,94;1394,31;167;268,96;1,96;266,02;41,07;0,19;1,43
2911,48;1395,24;167;270,04;1,04;267,06;41,98;0,28;2,03
2912,04;1396,18;168;271,14;1,14;268,2;42,83;0,27;1,99
2912,04;1396,18;168;272,26;1,26;269,46;43,59;0,25;1,83
2913,19;1398,13;169;273,4;1,4;270,86;44,53;0,3;2,21
2913,78;1399,13;169;274,56;1,56;272,42;45,28;0,26;1,9
2914,99;1401,17;170;276,93;1,93;274,35;46,52;0,22;1,65
2915,6;1402,21;171;278,14;1,14;275,49;47,22;0,25;1,89
2916,23;1403,27;171;279,37;1,37;276,85;47,9;0,25;1,86
2916,86;1404,34;172;280,62;1,62;278,47;48,76;0,3;2,28
2918,17;1406,55;173;283,19;2,19;280,66;50,47;0,29;2,2
2918,83;1407,68;173;284,5;1,5;282,15;51,03;0,23;1,74
2919,51;1408,83;174;285,83;1,83;283,98;52,01;0,35;2,68
2919,51;1408,83;174;287,18;1,18;285,17;52,79;0,3;2,29
2920,9;1411,18;175;288,56;1,56;286,72;53,57;0,3;2,32
2922,33;1413,6;176;291,37;2,37;289,1;55,38;0,33;2,55
2923,06;1414,84;176;292,81;1,81;290,9;55,89;0,23;1,79
2923,8;1416,08;177;294,25;1,25;292,16;56,4;0,23;1,82
2924,54;1417,35;177;295,72;1,72;293,88;57,33;0,37;2,87
2925,3;1418,63;178;297,22;1,22;295,1;58,26;0,37;2,91
2926,07;1419,94;178;298,74;1,74;296,83;59,22;0,39;3,05
2926,86;1421,27;179;300,28;1,28;298,11;60,15;0,39;3,03
2927,65;1422,62;180;301,84;1,84;299,95;61,02;0,37;2,93
2928,46;1423,98;180;303,43;1,43;301,38;61,72;0,32;2,51
2929,27;1425,36;181;305,03;2,03;303,41;62,43;0,32;2,58
2930,1;1426,75;181;306,65;1,65;305,05;63,15;0,33;2,61
2930,93;1428,17;182;308,29;1,29;306,34;64,1;0,42;3,35
2931,78;1429,6;182;309,95;1,95;308,29;64,75;0,31;2,51
2932,63;1431,04;183;311,62;1,62;309,91;65,31;0,29;2,3
2933,49;1432,49;183;313,31;1,31;311,22;65,86;0,28;2,26
2934,35;1433,96;184;315,02;2,02;313,25;66,6;0,36;2,87
2935,23;1435,44;184;316,74;1,74;314,99;67,11;0,27;2,21
2936,11;1436,94;185;318,48;1,48;316,46;67,63;0,28;2,28
2937;1438,44;185;320,22;2,22;318,69;68,23;0,31;2,52
2937,89;1439,96;186;321,98;1,98;320,67;68,53;0,2;1,62
2938,79;1441,47;186;323,74;1,74;322,41;68,54;0,09;0,76
2939,68;1442,98;187;325,5;1,5;323,91;68,66;0,13;1,09
2940,58;1444,5;187;327,26;2,26;326,17;68,81;0,14;1,19
2941,48;1446,02;188;329,03;2,03;328,2;68,72;0,06;0,46
2942,37;1447,54;188;330,79;1,79;329,99;68,79;0,11;0,95
2943,27;1449,06;189;332,55;1,55;331,54;68,73;0,07;0,57
2944,16;1450,57;189;334,31;1,31;332,85;68,5;0;0
2944,16;1450,57;190;336,07;2,07;334,91;68,55;0,1;0,87
2945,95;1453,6;190;337,83;1,83;336,74;68,75;0,17;1,39
2945,95;1453,6;191;339,59;1,59;338,33;68,66;0,05;0,45
2947,74;1456,63;191;341,35;1,35;339,68;68,79;0,14;1,16
2948,65;1458,16;192;343,12;2,12;341,8;68,83;0,1;0,86
2949,57;1459,69;192;344,87;1,87;343,68;68,48;0;0
2950,5;1461,22;193;346,63;1,63;345,31;68,51;0,1;0,83
2951,42;1462,74;193;348,4;1,4;346,7;68,84;0,21;1,81
2952,35;1464,25;194;350,16;2,16;348,86;68,82;0,08;0,7
2953,27;1465,75;194;351,93;1,93;350,79;68,83;0,09;0,8
2954,19;1467,25;195;353,69;1,69;352,48;68,68;0;0
2955,11;1468,75;195;355,44;1,44;353,92;68,42;0;0
2956,03;1470,25;196;357,2;2,2;356,12;68,72;0,2;1,71
2956,95;1471,74;197;358,96;1,96;358,08;68,48;0;0
2957,88;1473,25;197;360,72;1,72;359,8;68,78;0,2;1,76
2958,8;1474,75;198;362,49;1,49;361,29;68,9;0,13;1,17
2959,72;1476,26;198;364,25;2,25;363,54;68,75;0;0
2960,65;1477,76;199;366,02;2,02;365,56;68,88;0,14;1,2
2961,57;1479,26;199;367,78;1,78;367,34;68,64;0;0
2962,49;1480,76;200;369,54;1,54;368,88;68,67;0,1;0,89
2963,41;1482,27;200;371,3;1,3;370,18;68,87;0,16;1,44
2964,33;1483,76;201;373,06;2,06;372,24;68,51;0;0
2965,26;1485,26;201;374,82;1,82;374,07;68,75;0,18;1,57
2966,17;1486,76;202;376,58;1,58;375,65;68,47;0;0
2967,09;1488,26;202;378,33;1,33;376,98;68,43;0,07;0,64
2968,01;1489,76;203;380,1;2,1;379,08;68,71;0,2;1,75
2968,93;1491,26;203;381,85;1,85;380,93;68,56;0;0
2969,86;1492,76;204;383,62;1,62;382,55;68,72;0,15;1,3
2970,78;1494,26;204;385,38;1,38;383,93;68,77;0,11;0,97
2971,7;1495,76;205;387,14;2,14;386,07;68,59;0;0
2972,62;1497,26;205;388,91;1,91;387,97;68,9;0,21;1,85
2973,55;1498,77;206;390,67;1,67;389,64;68,88;0,08;0,74
2974,47;1500,27;206;392,43;1,43;391,08;68,66;0;0
2975,39;1501,76;207;394,19;2,19;393,26;68,45;0;0
2976,31;1503,27;207;395,95;1,95;395,21;68,69;0,18;1,61
2977,23;1504,76;208;397,71;1,71;396,92;68,58;0,05;0,44
2978,15;1506,26;208;399,47;1,47;398,38;68,64;0,11;1
2979,07;1507,76;209;401,23;2,23;400,61;68,66;0,1;0,88
2979,99;1509,26;209;402,98;1,98;402,59;68,44;0;0
2980,91;1510,76;210;404,74;1,74;404,34;68,73;0,2;1,8
2981,84;1512,27;210;406,51;1,51;405,85;68,88;0,15;1,36
2982,76;1513,76;211;408,27;1,27;407,12;68,52;0;0
2983,68;1515,26;211;410,03;2,03;409,14;68,55;0,1;0,93
2984,6;1516,76;212;411,78;1,78;410,92;68,53;0,08;0,77
2985,52;1518,26;212;413,54;1,54;412,46;68,57;0,1;0,93
2986,44;1519,76;213;415,31;1,31;413,77;68,87;0,2;1,9
2987,36;1521,26;214;417,07;2,07;415,84;68,62;0;0
2988,29;1522,77;214;418,83;1,83;417,67;68,86;0,18;1,67
2989,21;1524,27;215;420,59;1,59;419,26;68,75;0,05;0,45
2990,13;1525,76;215;422,35;1,35;420,61;68,45;0;0
2991,05;1527,27;216;424,11;2,11;422,73;68,77;0,21;1,96
2991,97;1528,76;216;425,87;1,87;424,6;68,58;0;0
2992,89;1530,26;217;427,63;1,63;426,22;68,41;0;0
2993,81;1531,76;217;429,39;1,39;427,61;68,87;0,26;2,49
2994,73;1533,26;218;431,15;2,15;429,76;68,44;0;0
2995,65;1534,76;218;432,9;1,9;431,66;68,45;0,09;0,88
2996,57;1536,26;219;434,66;1,66;433,33;68,78;0,21;2,01
2997,5;1537,76;219;436,43;1,43;434,75;68,67;0,05;0,49
2998,43;1539,26;220;438,18;2,18;436,93;68,44;0;0
2999,36;1540,76;220;439,95;1,95;438,88;68,81;0,23;2,21
3000,28;1542,26;221;441,7;1,7;440,58;68,49;0;0
3001,21;1543,75;221;443,46;1,46;442,04;68,5;0,09;0,89
3004,86;1543,56;222;445,22;2,22;444,25;68,65;0,14;1,41
3005,79;1545,05;222;446,97;1,97;446,23;68,52;0,04;0,41
3006,72;1546,55;223;448,74;1,74;447,96;68,67;0,14;1,41
3007,65;1548,05;223;450,5;1,5;449,47;68,88;0,17;1,65
3008,58;1549,54;224;452,26;1,26;450,73;68,69;0;0
3009,52;1551,04;224;454,03;2,03;452,76;68,89;0,17;1,63
3010,45;1552,54;225;455,79;1,79;454,55;68,67;0;0
3011,38;1554,03;225;457,55;1,55;456,1;68,83;0,15;1,46
3012,31;1555,53;226;459,32;1,32;457,42;68,68;0;0
3013,25;1557,02;226;461,08;2,08;459,5;68,73;0,11;1,07
3014,18;1558,52;227;462,84;1,84;461,34;68,8;0,12;1,15
3015,11;1560,02;227;464,61;1,61;462,95;68,84;0,1;1,01
3016,04;1561,52;228;466,37;1,37;464,32;68,82;0,08;0,83
3016,98;1563,02;229;468,14;2,14;466,46;68,87;0,11;1,1
3017,91;1564,51;229;469,9;1,9;468,36;68,68;0;0
3018,84;1566,01;230;471,67;1,67;470,02;68,89;0,17;1,68
3019,77;1567,5;230;473,42;1,42;471,44;68,44;0;0
3020,7;1569;231;475,19;2,19;473,63;68,85;0,24;2,48
3021,63;1570,49;231;476,94;1,94;475,57;68,49;0;0
3022,56;1571,98;232;478,7;1,7;477,27;68,44;0,07;0,71
3023,49;1573,48;232;480,46;1,46;478,73;68,78;0,22;2,2
3024,42;1574,97;233;482,22;2,22;480,95;68,63;0;0
3025,35;1576,46;233;483,97;1,97;482,92;68,41;0;0
3026,28;1577,95;234;485,74;1,74;484,66;68,76;0,22;2,28
3027,21;1579,45;234;487,5;1,5;486,16;68,78;0,1;0,99
3028,14;1580,94;235;489,26;1,26;487,42;68,43;0;0
3029,07;1582,43;235;491,01;2,01;489,43;68,42;0,09;0,88
3030;1583,93;236;492,77;1,77;491,2;68,81;0,24;2,45
3030,93;1585,42;236;494,54;1,54;492,74;68,74;0,06;0,64
3031,86;1586,92;237;496,3;1,3;494,03;68,63;0,05;0,49
3032,79;1588,41;237;498,06;2,06;496,09;68,61;0,08;0,84
3032,79;1588,41;238;499,82;1,82;497,91;68,89;0,19;2,04
3034,66;1591,41;238;501,59;1,59;499,5;68,85;0,07;0,74
3035,59;1592,9;239;503,35;1,35;500,85;68,77;0,06;0,61
3036,53;1594,4;239;505,12;2,12;502,97;68,9;0,14;1,45
3037,46;1595,89;240;506,87;1,87;504,84;68,49;0;0
3038,38;1597,38;240;508,63;1,63;506,47;68,45;0,07;0,74
3039,33;1598,87;241;510,39;1,39;507,87;68,77;0,21;2,22
3040,28;1600,36;241;512,15;2,15;510,02;68,66;0,05;0,53
3041,22;1601,85;242;513,92;1,92;511,94;68,88;0,17;1,82
3042,17;1603,34;242;515,68;1,68;513,61;68,54;0;0
3043,11;1604,82;243;517,44;1,44;515,05;68,59;0,11;1,13
3044,06;1606,31;243;519,2;2,2;517,25;68,78;0,16;1,7
3045;1607,8;244;520,96;1,96;519,21;68,68;0,05;0,54
3045,95;1609,29;245;522,72;1,72;520,93;68,81;0,14;1,5
3046,9;1610,78;245;524,48;1,48;522,41;68,46;0;0
3047,86;1612,26;246;526,24;2,24;524,65;68,5;0,1;1,11
3048,81;1613,75;246;528;2;526,65;68,83;0,21;2,3
3049,77;1615,24;247;529,76;1,76;528,41;68,66;0;0
3050,72;1616,73;247;531,52;1,52;529,92;68,41;0;0
3051,71;1618,19;248;533,27;1,27;531,2;68,55;0,14;1,53
3052,71;1619,66;248;535,04;2,04;533,23;68,81;0,19;2,04
3053,71;1621,12;249;536,8;1,8;535,03;68,68;0;0
3054,7;1622,57;249;538,55;1,55;536,59;68,48;0;0
3055,7;1624,04;250;540,32;1,32;537,9;68,75;0,19;2,07
3056,7;1625,5;250;542,08;2,08;539,99;68,8;0,11;1,19
3057,7;1626,96;251;543,84;1,84;541,83;68,65;0;0
3058,8;1628,35;251;545,61;1,61;543,43;68,88;0,17;1,93
3059,9;1629,74;252;547,37;1,37;544,8;68,61;0;0
3061;1631,12;252;549,13;2,13;546,93;68,7;0,12;1,38
3062,1;1632,51;253;550,89;1,89;548,82;68,9;0,16;1,83
3063,21;1633,91;253;552,66;1,66;550,48;68,87;0,08;0,87
3064,3;1635,29;254;554,42;1,42;551,9;68,52;0;0
3065,42;1636,68;254;556,18;2,18;554,08;68,7;0,16;1,77
3066,53;1638,06;255;557,93;1,93;556,02;68,44;0;0
3067,64;1639,45;255;559,69;1,69;557,71;68,5;0,11;1,23
3068,74;1640,83;256;561,45;1,45;559,15;68,46;0,08;0,86
3069,86;1642,22;256;563,21;2,21;561,36;68,71;0,18;2,05
3070,97;1643,6;257;564,97;1,97;563,33;68,64;0,06;0,68
3072,16;1644,92;257;566,73;1,73;565,06;68,79;0,15;1,66
3073,35;1646,23;258;568,5;1,5;566,56;68,9;0,13;1,45
3074,52;1647,55;258;570,26;2,26;568,82;68,84;0,07;0,78
3075,69;1648,86;259;572,03;2,03;570,85;68,74;0,05;0,55
3076,86;1650,17;259;573,79;1,79;572,64;68,9;0,15;1,71
3078,03;1651,47;260;575,55;1,55;574,19;68,57;0;0
3079,2;1652,78;261;577,31;1,31;575,5;68,75;0,16;1,78
3080,37;1654,09;261;579,08;2,08;577,58;68,85;0,12;1,43
3081,54;1655,41;262;580,84;1,84;579,43;68,72;0,04;0,48
3082,7;1656,73;262;582,6;1,6;581,03;68,59;0;0
3083,86;1658,06;263;584,36;1,36;582,39;68,71;0,14;1,57
3085,02;1659,4;263;586,13;2,13;584,52;68,91;0,16;1,88
3086,19;1660,73;264;587,88;1,88;586,4;68,43;0;0
3087,36;1662,04;264;589,64;1,64;588,04;68,51;0,12;1,36
3088,53;1663,35;265;591,39;1,39;589,43;68,44;0,06;0,71
3089,71;1664,67;265;593,16;2,16;591,59;68,91;0,27;3,12
3090,89;1665,98;266;594,93;1,93;593,52;68,82;0,05;0,62
3092,07;1667,3;266;596,69;1,69;595,21;68,81;0,08;0,99
3093,24;1668,61;267;598,45;1,45;596,66;68,5;0;0
3094,41;1669,92;267;600,21;2,21;598,86;68,59;0,12;1,42
3095,59;1671,24;268;601,97;1,97;600,84;68,91;0,21;2,49
3096,77;1672,55;268;603,73;1,73;602,57;68,57;0;0
3097,95;1673,87;269;605,5;1,5;604,06;68,82;0,18;2,18
3099,14;1675,18;269;607,26;2,26;606,32;68,84;0,09;1,11
3100,36;1676,45;270;609,02;2,02;608,34;68,66;0;0
3101,57;1677,72;270;610,78;1,78;610,12;68,51;0;0
3102,8;1679;271;612,54;1,54;611,66;68,89;0,23;2,75
3104,02;1680,27;271;614,31;1,31;612,97;68,75;0;0
3105,24;1681,55;272;616,07;2,07;615,04;68,84;0,12;1,45
3106,46;1682,81;272;617,83;1,83;616,87;68,41;0;0
3107,68;1684,09;273;619,59;1,59;618,46;68,76;0,22;2,64
3108,9;1685,37;273;621,35;1,35;619,81;68,85;0,12;1,47
3110,12;1686,64;274;623,11;2,11;621,93;68,62;0;0
3111,34;1687,91;274;624,87;1,87;623,79;68,45;0;0
3112,56;1689,18;275;626,63;1,63;625,42;68,68;0,18;2,12
3113,77;1690,45;275;628,39;1,39;626,81;68,49;0;0
